car_id,car_name,reviews_count,fuel_type,engine_displacement,no_cylinder,seating_capacity,transmission_type,fuel_tank_capacity,Price,rating,Year,Model,Make,Car Features
15,Tata Harrier,2392,Diesel,1956,4,5,Automatic,50,3499000,4.5,2021,Move,Daihatsu,"ABS, Air Bags, Air Conditioning, Alloy Rims, AM/FM Radio, CD Player, Cassette Player, Cool Box, Climate Control, DVD Player, Front Speakers, Front Camera, Immobilizer Key, Power Locks, Power Steering, Power Windows, Rear AC Vents, Rear speakers, Rear Camera, Steering Switches, USB and Auxillary Cable"
16,Maruti Baleno,137,Petrol,1197,4,5,Automatic,37,1425000,4.5,2004,Terios Kid,Daihatsu,"Air Bags, Air Conditioning, Alloy Rims, AM/FM Radio, Cassette Player, Front Speakers, Power Locks, Power Mirrors, Power Windows, USB and Auxillary Cable"
17,Toyota Innova Crysta,91,Diesel,2393,4,8,Automatic,55,2150000,4.5,2013,Move,Daihatsu,"ABS, Air Bags, Air Conditioning, Climate Control, DVD Player, Front Speakers, Immobilizer Key, Keyless Entry, Navigation System, Power Locks, Power Mirrors, Power Steering, Power Windows, Rear speakers, Rear Camera, Steering Switches, USB and Auxillary Cable"
18,Maruti Ertiga,110,Petrol,1462,4,7,Automatic,45,1670000,4.5,2007,Civic Prosmetic,Honda,"ABS, Air Bags, Air Conditioning, Alloy Rims, AM/FM Radio, Front Speakers, Immobilizer Key, Keyless Entry, Power Locks, Power Mirrors, Rear Seat Entertainment, Rear speakers, Rear Camera, USB and Auxillary Cable"
19,Kia Sonet,523,Diesel,1493,4,5,Automatic,45,900000,4,2006,Cultus VXR,Suzuki,"Air Conditioning, Alloy Rims, Keyless Entry, Navigation System, Power Steering, Rear speakers, Rear Camera"
20,Maruti Dzire,245,Petrol,1197,4,5,Automatic,37,660000,4.5,2011,Mira,Daihatsu,"ABS, Air Bags, Air Conditioning, Alloy Rims, Cassette Player, Front Speakers, Front Camera, Immobilizer Key, Navigation System, Power Locks, Power Mirrors, Power Steering, Power Windows, Rear Seat Entertainment, Steering Switches, USB and Auxillary Cable"
21,Honda City 4th Generation,1067,Petrol,1497,4,5,Manual,40,3400000,4.5,2023,City IVTEC,Honda,"Air Bags, Air Conditioning, Alloy Rims, AM/FM Radio, Cruise Control, Front Speakers, Front Camera, Power Locks, Power Steering, Power Windows, Rear Camera, Sun Roof, Steering Switches, USB and Auxillary Cable"
22,Land Rover Range Rover,17,Petrol,4367,8,7,Automatic,90,1920000,4.5,2008,Corolla XLI,Toyota,"ABS, Air Bags, AM/FM Radio, CD Player, Rear AC Vents, USB and Auxillary Cable"
23,Tata Tiago,435,CNG,1199,3,5,Manual,60,1600000,4.5,2014,Wagon R,Suzuki,"Air Bags, Air Conditioning, AM/FM Radio, Front Speakers, Immobilizer Key, Power Locks, Power Windows"
24,Hyundai i20,432,Petrol,998,3,5,Automatic,37,890000,3.5,2007,Santro,Hyundai,"Air Conditioning, Alloy Rims, AM/FM Radio, CD Player, Front Speakers, Keyless Entry, Power Steering, USB and Auxillary Cable"
25,Mahindra XUV300,2245,Diesel,1497,4,5,Automatic,42,4475000,4.5,2019,Corrolla Altis,Toyota,"ABS, Air Bags, Air Conditioning, AM/FM Radio, Cruise Control, Climate Control, DVD Player, Front Speakers, Front Camera, Immobilizer Key, Keyless Entry, Navigation System, Power Locks, Power Mirrors, Power Steering, Power Windows, Rear Seat Entertainment, Rear AC Vents, Rear speakers, Rear Camera, Steering Switches, USB and Auxillary Cable"
26,MG Hector,200,Diesel,1956,4,5,Manual,60,1050000,4,2009,Cultus VXR,Suzuki,"Air Conditioning, CD Player, Immobilizer Key, Rear speakers"
27,Tata Altroz,1025,Diesel,1497,4,5,Manual,37,4199000,4.5,2021,City Aspire,Honda,"Air Conditioning, Alloy Rims, AM/FM Radio, DVD Player, Front Speakers, Immobilizer Key, Power Locks, Power Mirrors, Power Steering, Power Windows, Rear speakers, Rear Camera, USB and Auxillary Cable"
28,Mahindra Scorpio Classic,14,Diesel,2184,4,7,Manual,60,620000,4.5,2009,Mehran VXR,Suzuki,Air Conditioning
29,Hyundai Verna,234,Diesel,1493,4,5,Automatic,45,1000000,4.5,2006,Cuore,Daihatsu,Front Speakers
30,Citroen C3,57,Petrol,1199,3,5,Manual,30,1825000,4.5,2009,Civic Prosmetic,Honda,"ABS, Air Bags, Air Conditioning, Alloy Rims, AM/FM Radio, Front Speakers, Front Camera, Keyless Entry, Power Locks, Power Mirrors, Power Steering, Power Windows, Rear Camera"
31,Honda City,162,Diesel,1498,4,5,Manual,40,1025000,4.5,2007,Pajero Mini,Mitsubishi,"Alloy Rims, Keyless Entry, Rear Camera"
32,Maruti Celerio,89,Petrol,998,3,5,Automatic,32,2100000,3.5,2017,Swift,Suzuki,"ABS, Air Bags, AM/FM Radio, DVD Player, Front Speakers, Power Locks, Power Mirrors, Power Windows, Rear Camera"
33,Nissan Magnite,278,Petrol,999,3,5,Automatic,40,3090000,4.5,2015,Passo,Toyota,"ABS, Air Bags, Air Conditioning, AM/FM Radio, Climate Control, DVD Player, Front Speakers, Immobilizer Key, Keyless Entry, Power Locks, Power Mirrors, Power Steering, Power Windows, Rear Camera"
34,Renault KWID,545,Petrol,999,3,5,Automatic,28,2650000,4.5,2013,City IVTEC,Honda,"ABS, Air Conditioning, AM/FM Radio, DVD Player, Front Speakers, Immobilizer Key, Navigation System, Power Locks, Power Mirrors, Power Steering, Power Windows, Rear speakers, Rear Camera, USB and Auxillary Cable"
35,Land Rover Defender,13,Petrol,4997,4,7,Automatic,89,3100000,4.5,2013,City IVTEC,Honda,"ABS, Air Bags, Air Conditioning, Alloy Rims, AM/FM Radio, CD Player"
36,Maruti Alto 800,437,CNG,796,3,5,Manual,60,3000000,4.5,2021,Picanto,KIA,"ABS, Air Bags, Air Conditioning, AM/FM Radio, Climate Control, Front Speakers, Immobilizer Key, Keyless Entry, Power Locks, Power Steering, Power Windows, Rear AC Vents, Rear speakers, USB and Auxillary Cable"
37,Hyundai Kona Electric,40,Electric,0,0,5,Electric,0,830000,4.5,2007,Cuore,Daihatsu,"Alloy Rims, AM/FM Radio, CD Player, Front Speakers"
38,Tata Tigor,136,CNG,1199,3,5,Manual,60,950000,4.5,2015,Bolan,Suzuki,Climate Control
39,Renault Kiger,228,Petrol,999,3,5,Automatic,40,4500000,4.5,2021,City Aspire,Honda,"ABS, Air Conditioning, DVD Player, Front Speakers, Immobilizer Key, Navigation System, Power Locks, Power Mirrors, Power Steering, Power Windows, Rear Camera, USB and Auxillary Cable"
40,Maruti S-Presso,301,Petrol,998,3,5,Automatic,27,1165000,4.5,2012,Alto,Suzuki,USB and Auxillary Cable
41,MG Astor,101,Petrol,1349,3,5,Automatic,45,2250000,4.5,2021,Karvaan,Changan,"Air Conditioning, AM/FM Radio, Front Speakers, Power Locks, Power Steering, Power Windows, Rear AC Vents, Rear Camera, USB and Auxillary Cable"
42,Lamborghini Urus,33,Petrol,3996,8,5,Automatic,75,2225000,4.5,2016,Swift,Suzuki,"ABS, Air Bags, Alloy Rims, AM/FM Radio, Front Speakers, Immobilizer Key, Keyless Entry, Navigation System, Power Locks, Power Mirrors, Power Steering, Power Windows, Rear speakers, Rear Camera, USB and Auxillary Cable"
43,Honda Amaze,85,Diesel,1498,4,5,Automatic,35,700000,4.5,2015,Ravi,Suzuki,Cool Box
44,Renault Triber,774,Petrol,999,3,7,Automatic,40,1380000,4.5,2005,Baleno,Suzuki,"ABS, Air Conditioning, Alloy Rims, CD Player, Immobilizer Key, Power Locks, Power Mirrors, Power Windows, USB and Auxillary Cable"
45,Hyundai Alcazar,207,Diesel,1493,4,7,Automatic,50,875000,4,2016,X-PV,FAW,Air Conditioning
46,Hyundai Aura,261,Petrol,998,3,5,Manual,37,2200000,4.5,2013,Mira,Daihatsu,"ABS, Air Bags, Air Conditioning, Alloy Rims, DVD Player, Front Speakers, Immobilizer Key, Keyless Entry, Power Locks, Power Mirrors, Power Steering, Power Windows, Rear Camera, Steering Switches, USB and Auxillary Cable"
47,Volkswagen Virtus,69,Petrol,1498,4,5,Automatic,45,2720000,4.5,2017,Corolla XLI,Toyota,"ABS, Air Bags, Alloy Rims, Power Mirrors, Power Steering, Rear Camera, USB and Auxillary Cable"
48,Skoda Slavia,52,Petrol,1498,4,5,Automatic,45,2900000,4.5,2023,Alto,Suzuki,"ABS, Air Bags, Air Conditioning, Alloy Rims, AM/FM Radio, Front Speakers, Immobilizer Key, Keyless Entry, Power Locks, Power Mirrors, Power Steering, Power Windows, Rear Camera, USB and Auxillary Cable"
49,Maruti Ignis,461,Petrol,1197,4,5,Automatic,32,2010000,4.5,2011,Mira,Daihatsu,"Air Bags, Air Conditioning, CD Player, Power Steering, Power Windows, Rear speakers, USB and Auxillary Cable"
50,Mercedes-Benz GLA,12,Diesel,1950,4,5,Automatic,0,1130000,4.5,2014,Bolan,Suzuki,"AM/FM Radio, USB and Auxillary Cable"
51,Volvo XC90,35,Petrol,1969,4,7,Automatic,68,680000,4.5,2003,Alto,Suzuki,"Air Conditioning, AM/FM Radio, CD Player, Keyless Entry, Rear speakers"
52,Skoda Kushaq,172,Petrol,1498,4,5,Automatic,50,1850000,4.5,2016,Hijet,Daihatsu,"ABS, Air Bags, Air Conditioning, AM/FM Radio, Front Speakers, Navigation System, Power Locks, Power Steering, Power Windows, Rear Camera, USB and Auxillary Cable"
53,Maruti XL6,58,Petrol,1462,4,6,Automatic,45,830000,4.5,2010,Cuore,Daihatsu,"Air Conditioning, Alloy Rims, AM/FM Radio, Cassette Player, Cool Box, Cruise Control"
54,Jeep Wrangler,18,Petrol,1998,4,5,Automatic,0,2000000,4.5,2013,Ek Wagon,Mitsubishi,"ABS, Air Bags, Air Conditioning, Immobilizer Key, Navigation System, Power Locks, Power Mirrors, Power Steering, Power Windows, Rear Camera"
55,Maruti Eeco,264,Petrol,1196,4,7,Manual,65,4750000,4.5,2022,Swift,Suzuki,"ABS, Air Bags, Air Conditioning, Alloy Rims, AM/FM Radio, CD Player, Cassette Player, Cruise Control, Climate Control, DVD Player, Front Speakers, Front Camera, Heated Seats, Immobilizer Key, Keyless Entry, Navigation System, Power Locks, Power Mirrors, Power Steering, Power Windows, Rear speakers, Rear Camera, Steering Switches, USB and Auxillary Cable"
56,Force Gurkha,28,Diesel,2596,4,4,Manual,63,900000,4.5,2004,Baleno,Suzuki,"AM/FM Radio, CD Player, Front Speakers, Power Steering, Power Windows, Rear speakers, Rear Camera"
57,Maruti S-Cross,77,Petrol,1462,4,5,Automatic,48,2100000,4.5,2012,Wagon R,Suzuki,"Air Bags, Air Conditioning, Alloy Rims, AM/FM Radio, CD Player, Cool Box, Climate Control, Front Speakers, Immobilizer Key, Keyless Entry, Navigation System, Power Locks, Power Mirrors, Power Steering, Power Windows, Rear speakers, Rear Camera, Steering Switches, USB and Auxillary Cable"
58,Maruti Ciaz,666,Petrol,1462,4,5,Automatic,43,850000,4.5,2007,Bolan,Suzuki,Front Speakers
59,Hyundai Santro,532,CNG,1086,4,5,Manual,60,3750000,4.5,2018,Passo,Toyota,"ABS, Air Bags, Air Conditioning, AM/FM Radio, CD Player, Climate Control, Front Speakers, Immobilizer Key, Keyless Entry, Power Mirrors, Power Steering, Power Windows, Rear Camera, Steering Switches"
60,Volkswagen Taigun,68,Petrol,1498,4,5,Automatic,50,2070000,4.5,2011,Corolla XLI,Toyota,"Air Conditioning, Alloy Rims, AM/FM Radio, CD Player"
